de,1=的
yui,3=蝓
kvr,2=暌
yuj,3=舁
ufy,2=诜
xlc,2=芗
yza,4=尢
fuc,5=菔
hjh,3=焓
lzc,1=蒌
pwf,2=旆
zoy,1=胙
vfd,1=浈
ijv,1=觇
jms,2=缣
npn,1=颞
vzu,1=碡
dhy,2=谠
sct,1=埽
kcm,1=栲
ioz,1=踔
dny,1=鲷
gey,3=袼
ujc,2=芟
sur,2=僳
qim,6=槭
xly,3=鲞
yzi,2=蚴
fum,3=桴
Kar,1=佧
kvc,2=蒉
qkm,1=檠
xbx,3=囟
bnf,1=飑
fjh,2=燔
rsq,1=狨
suj,1=觫
trt,1=疃
fuj,2=幞
xqd,1=溴
zok,2=唑
eec,3=苊
hyd,2=溷
pky,2=鲆
pzf,1=掊
bff,1=畚
cjm,2=骖
ifm,1=榇
dmb,3=癜
hzt,1=堠
mcd,2=泖
mwd,2=浼
qnu,2=硗
vvr,1=隹
gej,2=哿
jqr,2=僦
wwe,1=隈
bwu,4=碚
sju,1=馓
hvu,2=隳
ljs,2=罱
wux,3=怃
ziu,1=嵫
dzc,2=篼
dim,4=觌
gyi,1=辊
liv,5=篥
nct,1=垴
hdy,1=醢
jii,2=虮
quy,2=诎
uhs,1=绱
uit,2=埘
zze,2=陬
fuu,3=祓
jrj,2=锩
qui,4=蠼
ssc,3=菘
yit,2=圯
aaj,1=锕
dgx,1=戥
hji,1=蚶
mzr,1=侔
tsu,1=砼
gcc,1=藁
gok,2=呙
viv,5=絷
xbj,4=镡
wun,4=牾
dir,2=籴
ndr,1=佴
mgc,3=瞢
mnm,3=杪
zer,1=昃
jqq,2=鬏
lws,1=缧
php,1=耪
yaf,2=揠
yrm,1=橼
crh,1=爨
nqq,1=狃
voy,2=诼
aik,4=嗌
pnk,1=嘌
qii,2=蛴
qrt,1=畎
yuy,15=雩
yug,3=鹆
zvc,1=蕞
pcy,2=脬
iju,4=羼
xps,1=缬
hrd,6=漶
ytk,2=哕
rcc,1=荛
svy,1=谇
ijg,1=廛
irq,1=氚
enc,1=蒽
qxy,1=袷
mgc,4=甍
mbk,1=黾
tkh,1=烃
anj,1=铵
ihb,1=鬯
pjy,2=襻
szk,3=嗾
xpz,2=躞
igm,4=柽
gej,3=镉
gzz,1=遘
gxy,2=诖
gys,1=绲
huu,5=岵
bjj,1=钣
hrz,1=逭
jtj,2=觖
kjc,1=莰
iic,1=茌
dkb,1=疔
wut,2=圬
xiu,6=禊
idw,1=虿
kuk,1=刳
qqi,3=蝤
bih,1=秕
fgc,1=葑
fuk,3=呋
gvg,2=匦
jld,6=豇
sej,1=铯
uht,2=垧
wwd,3=洧
qbk,2=吣
jqm,3=桕
khj,2=钪
wud,2=浯
yub,7=窬
vit,3=埴
ihx,2=惝
gou,1=崞
ugu,5=眚
hhy,1=颃
koi,1=蛞
moj,1=镆
ruc,3=薷
isc,1=茺
hsc,3=蕻
khm,2=闶
vhn,1=嫜
jmk,1=囝
lhc,1=蒗
yzi,3=蚰
bny,3=鳔
dig,2=骶
klt,1=圹
mim,5=敉
vft,2=畛
vii,5=轵
viy,5=黹
bur,1=晡
jmd,7=湔
mcm,2=瞀
ifi,2=龀
hxf,1=砉
iiv,4=篪
mjg,1=鞔
pir,2=仳
wjc,2=芄
xmq,2=猃
xud,2=溆
zdt,1=甾
dzj,1=钭
dug,1=髑
noj,1=锘
qxg,1=髂
wou,2=硪
vud,5=潴
jmy,4=裥
kkh,1=郐
lzb,1=瘘
qiu,10=屺
vfy,4=胗
dav,2=笪
ffy,2=鲼
xnm,4=枵
bbg,1=髌
nkb,1=甯
qly,3=羟
qky,3=鲭
uuy,2=腧
tni,2=龆
wwd,4=沩
xps,2=绁
ycu,1=崾
igi,1=蛏
qtk,1=悫
tad,1=溻
zgs,2=罾
vuv,5=舳
dcx,2=忉
pii,2=蜱
pum,2=氆
iaj,2=锸
fjj,3=钒
jxi,1=蛱
jnb,3=敫
jth,1=爝
vsv,3=舯
bmv,2=笾
gus,1=罟
ycj,2=铫
viz,4=踬
biv,4=箅
fus,4=绋
nmt,1=埝
pic,1=芘
svd,1=濉
xmm,2=籼
xrm,2=楦
xyr,4=曛
aoa,7=聱
bou,5=鹁
mhu,1=硭
mcc,3=茆
ufy,3=谂
tdh,1=炱
tuj,1=钍
iau,2=馇
fgk,1=唪
kls,1=纩
gxm,1=栝
qmb,3=褰
xiu,7=饩
ziz,2=趑
zuc,1=菹
bmy,4=鳊
ihy,3=鲳
jif,3=掎
juu,4=屦
llc,1=莨
fuc,6=莩
pit,4=埤
vsd,2=螽
pwy,3=醅
tni,3=蜩
yib,8=瘗
yzc,4=莸
bjb,2=癍
ddt,1=埭
dkk,2=啶
gzg,1=鞲
rvm,2=枘
tog,1=庹
qpx,3=郄
xku,2=硎
xqx,2=髹
mum,2=毪
dcq,1=氘
fub,4=赙
jid,5=洎
pfd,1=湓
yza,5=卣
cic,4=茈
kkd,1=浍
lcm,1=栳
gzv,2=笱
kem,4=骒
wfm,2=阌
vjf,2=搌
jiz,3=跽
vaf,1=揸
xpd,5=渫
vuv,6=邾
hrf,1=擐
jnk,2=噍
lum,3=氇
xiw,1=觋
ybt,2=堙
zyf,1=撙
ruy,3=颥
tny,2=鲦
gjb,1=疳
glm,1=桄
boz,2=踣
jub,3=窭
qng,5=鞒
ten,1=慝
biy,2=襞
ufu,3=矧
xyq,1=獯
ytd,1=瀹
ijc,1=蒇
cvm,2=榱
fuf,10=艴
jkd,3=刭
mak,3=唛
ppc,1=苤
poj,1=钋
qbk,3=嗪
yhi,1=蛘
cjh,2=黪
hof,1=攉
nvj,1=钕
uuy,3=毹
yaq,1=氩
fah,1=垡
kes,1=缂
tdm,1=骀
eej,2=锇
hly,2=鳇
woy,1=肟
lob,1=瘰
pdk,1=哌
qli,1=蜣
ger,1=仡
vzv,1=籀
xpc,2=薤
vau,1=砟
bul,2=瓿
jnr,5=僬
yuu,4=嵛
bmx,2=忭
iib,2=瘛
dst,1=垌
gcm,3=槔
nci,1=蛲
qbj,3=锓
ued,3=滠
tvh,1=煺
yib,9=劓
mik,2=嘧
pgi,1=蟛
pie,2=陴
pkr,2=俜
whi,1=辋
ytr,1=龠
czy,1=腠
lii,7=轹
lvh,1=稆
mci,2=蝥
pgt,1=堋
bwg,1=鞴
hse,1=黉
lkm,2=柃
mjj,2=镘
yid,7=殪
bhc,1=蒡
gxy,3=胍
jpg,1=骱
mam,1=杩
nve,1=恧
qsg,3=跫
uak,1=唼
udy,1=酾
dsu,2=硐
hdy,2=胲
huh,4=烀
qum,4=氍
vix,1=忮
kzc,2=芤
yrv,1=箢
vak,5=哳
liy,4=鲡
qbm,1=檎
ysu,1=饔
huh,5=戽
yau,3=砑
bgw,1=甏
dsq,1=氡
hoj,2=钬
llt,1=墚
qkc,1=苘
xib,2=穸
gzj,2=觏
hzg,1=骺
jmm,6=枧
lqn,1=鹨
mob,3=瘼
qim,7=桤
sjc,2=毵
xum,3=糈
igy,4=酲
gzu,2=岣
qmy,4=肷
erj,1=铒
jmy,5=鲣
mzi,1=蛑
xiy,5=裼
vzy,3=酎
cvm,3=毳
dmt,2=坫
gjy,2=酐
haj,1=铪
klb,1=贶
ufy,4=胂
zrz,1=躜
jiu,10=嵴
jmz,3=趼
ltj,1=锊
lod,3=泺
zev,1=舴
lib,3=疬
nay,2=肭
wwd,5=涠
xmx,1=鹇
xru,1=碹
zic,9=粢
iim,2=眵
hvi,3=蟪
jtj,3=劂
lic,6=苈
szj,2=锼
ycw,2=珧
ybk,3=吲
coy,1=脞
dgu,2=嶝
hrj,1=锾
lnj,2=钌
nit,1=坭
diu,4=碲
dpg,1=瓞
jlc,2=茳
lpz,2=躐
lzu,1=嵝
npe,2=陧
uei,3=厍
zzj,1=鄹
aiu,3=砹
dyu,2=砘
ere,1=鸸
thi,2=螗
tej,1=铽
zoe,1=阼
ant,1=埯
jbg,2=廑
uuf,2=摅
wuc,2=芴
bmc,1=苄
juy,3=醵
ncu,1=硇
tuy,1=酴
tut,1=堍
xiv,1=舾
xij,3=舄
ccv,1=艚
kld,1=夼
tcv,1=鼗
xmv,2=筅
dsy,2=胨
fgu,2=砜
jiy,8=鲚
pid,1=淠
qkk,1=圊
wuz,1=迕
dhc,2=菪
rry,1=朊
bwb,3=鐾
bid,3=滗
ijz,1=躔
jky,4=腈
kzv,1=筘
lmi,1=蠊
zev,2=箦
vuv,7=橥
gou,2=馘
jic,6=蕺
ljj,2=镧
pmn,1=犏
vhr,2=仉
idb,1=瘥
ggs,1=绠
hzm,1=糇
kdt,1=垲
xmc,3=莶
bff,2=坌
fjz,2=蹯
fhj,1=钫
jlu,1=礓
Anf,1=揞
bij,2=铋
dsu,3=岽
yuv,5=肀
quj,2=鸲
thy,2=羰
iir,2=傺
gjd,3=澉
jky,5=肼
nun,6=胬
nvx,1=衄
pwj,2=锫
tdy,3=酞
wuu,2=鼯
igm,5=枨
jbb,1=赆
mwm,6=鹛
mnm,4=鹋
xpm,4=榍
vyb,1=窀
jrm,2=桊
jyf,1=捃
wgc,2=蕹
xlc,3=葙
yjs,1=罨
aij,1=锿
guy,5=酤
goi,2=蜾
jxf,1=恝
liz,2=跞
uoc,1=蒴
tjj,2=锬
ziy,1=鲻
hhs,1=绗
hoj,3=锪
poj,2=钷
qqv,1=巯
yrx,3=眢
hud,5=冱
xni,1=蛸
tmf,1=掭
zhm,1=驵
bwg,2=庳
bic,6=萆
djb,2=瘅
dnj,2=铞
kzm,1=眍
soy,1=羧
tjj,3=钽
bnb,1=瘭
izj,1=帱
ikf,1=搋
dme,1=阽
hun,1=鹱
jpy,5=鲒
piw,2=甓
qlj,3=锖
ykc,9=蓥
dpt,2=垤
led,1=泐
mdc,1=荬
nji,2=蝻
tov,1=箨
vdb,3=瘵
jmy,6=谫
kay,1=胩
mfj,1=钔
xic,3=蓰
zez,2=迮
icu,2=耖
jmz,4=踺
qmm,1=椠
aog,1=廒
keq,1=氪
nke,1=聍
qqb,1=赇
xmq,3=氙
iaq,1=猹
fwv,2=篚
gun,3=牿
ujt,1=埏
jxj,6=镓
kdj,3=锎
yiv,5=舣
mur,1=仫
xiu,8=鼷
vab,1=痄
cci,1=螬
liy,5=鳢
ysy,3=鳙
dvj,1=镦
hjf,3=撖
jlr,2=耩
jld,7=洚
lcj,1=铑
lbm,3=瞵
pni,1=螵
qxc,1=葜
yij,4=钇
jmm,7=楗
naj,2=镎
ujj,1=钐
uiu,8=贳
xqx,3=鸺
buy,2=醭
ijm,2=骣
bwb,4=鹎
hck,4=嚆
hoh,4=耠
hoc,3=劐
jun,1=犋
ley,1=鳓
lmc,2=蔹
way,2=腽
szm,1=瞍
tpc,1=萜
biz,5=舭
gaj,3=钆
jxb,3=瘕
lhh,1=稂
say,1=脎
dke,1=耵
lby,3=膦
mwj,2=镅
xim,5=粞
lsb,2=癃
xuy,7=醑
ybj,2=铟
vub,2=疰
ljd,3=漤
lcl,1=耢
nij,1=铌
bmu,2=碥
crj,1=镩
yuc,3=蓣
bac,2=菝
icx,1=怊
iyi,3=蝽
fwj,1=镄
ldj,1=铼
ler,1=仂
thu,2=耥
hlb,2=癀
nny,2=脲
qns,1=缲
tdy,4=鲐
yiy,16=酏
ffu,1=鼢
gdy,2=戤
mbm,5=鳘
mgu,1=礞
shu,2=磉
jmd,8=牮
puj,2=镨
xic,4=菥
ziz,3=耔
miy,4=脒
fuh,1=稃
ghv,1=筻
kvk,2=喹
kyy,2=醌
luj,1=镥
qqb,2=鼽
xrb,3=痃
zzy,2=鲰
drv,1=簖
mom,6=耱
qmu,4=岍
vub,3=瘃
vou,2=禚
ruj,1=铷
get,2=塥
puj,3=镤
qri,2=辁
uij,3=铈
szi,1=螋
djb,3=赕
ffd,3=瀵
mbc,1=苠
pdc,1=蒎
ppq,1=氕
thj,2=铴
yzj,2=铕
ery,1=鲕
ybc,3=茚
guy,6=鲴
jiv,8=彐
uiy,6=鲺
dqj,1=铥
hui,2=轷
lcj,2=铹
vzc,1=荮
zsy,1=腙
vej,2=喆
kdc,1=蒈
dib,1=的
lnv,1=了
vwz,1=这
uvy,1=说
vce,2=着
dda,1=大
nwe,1=那
mov,1=么
det,1=地
mod,4=没
kkr,2=会
hrz,2=还
duv,2=都
hoh,5=和
uir,6=什
moa,1=无
soc,2=些
xma,1=见
vhp,1=长
piy,3=被
jis,7=给
ish,1=种
jib,6=其
jne,1=觉
udb,1=色
isp,1=重
nik,1=呢
pmr,2=便
sdt,1=思
qkl,1=亲
jlg,2=强
jua,2=车
xpj,2=解
uir,7=似
moa,2=万
jua,3=且
ger,2=合
dog,1=度
lac,1=落
vrr,1=传
dif,2=提
nek,1=哪
uom,1=数
jid,6=奇
jix,3=系
xpm,5=血
yyk,1=员
djk,2=石
eee,1=阿
nau,1=南
viy,6=识
ytp,2=乐
gzk,1=句
ije,1=单
vcu,1=朝
yek,3=喝
jiq,4=期
lub,2=六
xpk,1=叶
jnm,3=校
cge,1=曾
lzy,1=露
vum,7=术
cie,1=差
kek,4=呵
jty,3=角
nib,1=疑
dny,2=调
ycs,1=约
dvz,1=追
oux,2=区
fur,7=佛
piu,3=否
wuy,4=恶
ifh,1=称
lqe,1=陆
vam,6=查
qxu,1=卡
vuu,2=属
lsw,2=弄
cfp,1=参
yeu,1=射
jpr,4=价
bih,2=秘
uzu,1=熟
mum,3=模
djg,1=弹
sir,4=食
zhc,2=藏
voc,2=著
jkl,4=劲
zak,2=咱
hek,4=吓
dzy,1=读
koz,1=适
bdr,2=伯
non,1=娜
pur,2=暴
mor,1=冒
vdf,2=择
uef,2=折
lus,1=绿
pis,2=罢
xle,1=降
xku,3=省
jrk,2=圈
llr,2=俩
gee,2=盖
pjt,2=番
igf,2=抢
uku,1=率
yic,5=艾
zdr,2=仔
qqr,2=仇
seb,1=塞
zaf,2=扎
igi,2=盛
vdr,2=侧
vjy,3=颤
bwb,5=臂
wwz,3=遗
isd,2=涌
xqb,1=宿
pdz,1=迫
ogk,1=嗯
dnp,1=鸟
pjy,3=胖
bch,2=炮
yey,4=邪
vip,3=氏
phy,2=膀
yii,4=蛇
lwg,1=勒
yiu,8=尾
boc,2=薄
mjt,2=埋
gxf,1=括
moy,3=脉
ugq,1=乘
gaa,1=夹
ucd,2=召
uhd,3=汤
xqz,1=臭
gux,1=贾
pkd,1=冯
maf,1=抹
qkr,3=倩
pom,2=繁
lcs,1=络
iau,3=刹
soc,3=莎
bub,1=堡
hum,3=核
jum,5=柜
yek,4=咽
bku,3=屏
vdu,1=祭
zrb,1=赚
hdk,2=咳
bhu,2=彭
bwu,5=勃
npf,1=摄
gak,2=咖
gay,1=胳
vcp,1=爪
qms,2=纤
gek,3=咯
vck,1=嘲
pnm,2=朴
qnu,3=雀
taf,2=拓
yuu,5=尉
yjy,11=殷
yrb,2=宛
xpf,4=契
boa,1=卜
qif,3=揭
bom,2=柏
xtx,1=削
jyp,1=龟
hhc,1=巷
ggy,2=颈
caf,1=拆
zak,3=咋
lqu,3=碌
uiu,9=匙
nek,2=呐
xuk,2=吁
zik,2=吱
uju,2=禅
cvd,2=衰
mun,4=姥
xic,5=茜
sii,3=厕
wuf,2=於
ycj,3=钥
svu,2=尿
tck,2=叨
bol,1=剥
mgw,1=氓
qnu,4=壳
pod,2=泊
cuu,1=卒
ihe,3=裳
cie,2=兹
pmh,1=扁
pgc,2=苹
zow,1=琢
xiy,6=腊
nmm,1=粘
gzf,1=拘
dvx,1=敦
uai,1=厦
wjc,3=蔓
ihd,1=淌
uik,4=嘘
zgs,3=综
hve,1=堕
ook,2=喔
hhk,1=吭
piu,4=辟
iut,1=畜
ics,1=绰
jtk,2=嚼
trf,2=揣
uid,2=殖
cir,1=伺
doe,2=隋
jxf,2=挟
ghf,2=扛
paf,1=扒
ucg,1=鞘
vlj,1=幢
icc,1=剿
god,2=涡
dgd,3=澄
uam,1=杉
xrd,5=券
fhr,2=彷
iak,1=喳
puy,2=脯
vos,1=缴
jic,7=藉
waa,2=凹
xim,6=栖
yuc,4=蔚
scm,2=梢
ley,2=肋
vya,1=屯
vyd,1=淳
grm,3=矜
gar,1=伽
uiu,10=峙
bdk,1=呗
jkq,3=靓
ycr,3=侥
bcd,2=瀑
vey,3=褚
iak,2=嚓
dax,2=惮
dak,2=嗒
jxc,3=茄
igr,1=晟
crf,2=攒
mgi,4=蟒
lkm,3=棱
jyv,1=筠
mqs,1=缪
loh,1=烙
nnd,1=溺
mun,5=牟
tyy,2=褪
dhj,1=铛
pjf,1=拌
vak,6=喋
cjf,1=掺
cem,1=栅
guk,3=呱
gvr,2=傀
diy,4=翟
nmi,1=辗
phu,1=磅
zof,1=撮
qir,2=伎
qiz,3=蹊
tvx,1=忒
gei,2=蛤
nqf,2=拗
boc,3=蕃
lof,2=捋
bov,4=簿
yud,5=汩
jpm,4=楷
ikk,1=啜
kjm,3=槛
wjc,4=莞
bid,4=泌
bcb,5=刨
tcu,1=焘
mwm,7=糜
mfd,2=汶
ddm,1=棣
dau,1=沓
nok,1=喏
jum,6=瞿
dom,1=驮
ivm,3=椎
jum,7=桔
wfw,3=玟
qik,3=啐
qkv,1=箐
xbc,3=莘
tjd,3=澹
pur,3=曝
qir,3=俟
but,2=埔
cik,1=呲
grs,1=纶
hcj,1=镐
hjm,1=阚
lcd,2=潦
sau,1=挲
qbx,1=覃
vsi,1=蚣
jyr,2=隽
tsu,2=峒
heh,3=颌
gai,1=轧
ujf,2=掸
juz,5=趄
wwu,6=崴
bfu,1=贲
xnn,1=姣
xud,3=浒
bkm,2=槟
fub,5=宓
vsx,1=忪
vir,3=徵
wwe,2=隗
gvg,3=匮
aay,1=腌
pab,1=耙
bgi,1=蚌
tkt,1=町
eem,1=阏
gag,1=戛
hhw,1=珩
jiy,9=诘
gld,1=潢
gvm,4=桧
xyd,5=浚
dyk,2=囤
jxj,7=颉
pnm,3=骠
dpr,1=佚
lzr,1=偻
vzx,1=繇
vld,4=奘
vil,1=郦
tsr,3=僮
lek,2=嘞
tsr,4=侗
yuw,4=熨
cju,1=孱
gug,6=鹘
bis,1=纰
qil,3=亟
piy,4=裨
dkj,3=铤
pim,2=睥
yyc,3=菀
gvr,3=炅
qmn,1=犍
vxf,1=挝
ytm,3=栎
jxf,3=拮
mpv,2=乜
xix,9=忾
wfw,4=韫
djy,3=膻
tmr,1=佃
ufy,5=谌
ykc,10=荥
hvm,3=睢
tic,1=荑
yrk,4=圜
tdk,2=呔
hes,1=纥
luc,2=蓼
lsd,1=泷
jpr,5=偈
vud,6=澍
dom,2=柁
hyw,1=珲
jtk,3=噱
lou,1=硌
iod,1=淖
qqc,1=艽
ucc,2=苕
hcg,1=貉
xmj,2=铣
yjc,1=芫
xut,3=圩
tmj,1=钿
jum,8=枸
uak,2=嗄
ycb,2=疟
vam,7=楂
yau,4=碣
pie,3=陂
jnd,2=湫
qih,2=綮
qic,7=荠
ddy,1=诒
kfi,1=龈
hhm,2=桁
aak,2=吖
hjq,1=犴
ybt,3=圻
pik,3=吡
ueq,3=歙
ifr,2=伧
nun,7=帑
fwc,2=芾
quc,3=苣
zsm,3=枞
tnk,1=啁
ffw,1=玢
xpy,6=鲑
vom,1=棹
vam,8=柞
voh,2=焯
iim,3=眙
hfk,1=哏
xyc,4=荨
qnu,5=峤
ugd,1=渑
ufm,2=椹
iit,3=坻
lwd,2=漯
zev,3=笮
bnm,3=杓
xyb,1=窨
zoy,2=酢
vei,4=螫
iac,3=苴
iim,4=柢
sjm,1=糁
vfd,2=溱
gvm,5=眭
iyy,2=朐
jty,4=鳜
vlg,2=戆
qyl,1=麇
hrt,1=垸
liu,4=砬
ljk,1=啉
zij,2=觜
ujy,6=剡
ncm,1=桡
hjr,3=旰
lix,2=悝
xyx,2=郇
toj,1=铊
pid,2=濞
vax,1=怍
zjf,2=拶
qpx,4=慊
iyy,3=肫
wha,1=尢
sem,1=槭
kkc,2=蒉
dou,2=隳
gxk,3=呙
ijj,2=镡
err,1=佴
yik,6=嗌
hvk,4=哕
mgk,1=黾
thx,1=惝
njk,3=囝
xuf,1=砉
mfg,1=鞔
gvh,2=郐
dnj,3=铫
bic,7=芘
kom,2=栝
lhc,2=莨
xix,10=郄
zic,10=茈
hvd,3=浍
mdk,1=唛
yir,11=仡
tst,1=垌
bgt,1=堋
uiy,7=酾
tiy,3=裼
kej,2=铪
cic,5=粢
qbg,1=廑
huc,2=芴
pwd,2=淠
cob,2=瘥
lmc,3=莶
loz,2=跞
dcj,1=帱
vaq,1=猹
yjt,3=埏
xxb,1=瘕
scs,2=缲
yty,2=说
voe,1=着
huh,6=和
hgr,2=行
lcc,2=落
nwk,1=哪
aae,2=阿
ycp,1=乐
uje,3=单
ide,1=差
eey,7=恶
ufp,1=参
yiu,9=射
yir,12=食
pub,1=堡
lok,1=咯
pom,3=朴
qqp,2=龟
zek,2=咋
vvf,1=揣
qbm,2=矜
qpr,1=伽
llq,1=靓
vuy,4=褚
mzs,1=缪
ujf,3=掺
ujm,4=栅
tim,2=棣
uau,5=挲
yai,3=轧
aay,2=腌
xpj,3=颉
ycx,4=繇
uld,1=泷
vod,5=淖
mog,2=貉
aak,3=嗄
poe,1=陂
aak,4=吖
vck,2=啁
tad,2=漯
hek,5=呙
tjj,4=镡
mmk,1=黾
tnj,1=铫
tmm,2=栝
veemm,1=着
dczuu,1=道
uircc,1=时
tanyy,1=她
zimpp,1=自
dercc,1=得
kekaa,1=可
xbddd,1=心
yirvv,1=以
qizjj,1=起
vidnn,1=之
ufruu,1=什
uiavv,1=事
jivvv,1=己
jxbnn,1=家
viukk,1=知
xmwjj,1=现
qkxqq,1=情
xpcee,1=些
yivvv,1=已
yzvnn,1=又
ugupp,1=声
yilxx,1=意
yuavv,1=于
hvkkk,1=回
xnvyy,1=笑
yjmnn,1=眼
fhdpp,1=方
jmavv,1=见
lladd,1=两
livpp,1=力
qipvv,1=气
gokyy,1=国
dafdd,1=打
mkryy,1=明
erpvv,1=儿
fadqq,1=法
jipvv,1=几
civbb,1=此
zdraa,1=再
vshvv,1=种
uibtt,1=实
xlkpp,1=向
uiaaa,1=十
divpp,1=第
gjxxx,1=感
ufuuu,1=神
zorvv,1=作
qiavv,1=七
bakbb,1=吧
jybii,1=军
mfdvv,1=门
vurvv,1=住
goann,1=果
eraaa,1=二
hzruu,1=候
gsbdd,1=公
xlmmm,1=相
sidbb,1=死
bulee,1=部
vjvgg,1=战
liwll,1=理
viuaa,1=直
vspaa,1=重
whtaa,1=王
xlrxx,1=像
lmyaa,1=脸
herkk,1=何
uvvnn,1=水
tirbb,1=体
dsadd,1=东
xiaaa,1=西
bmrgg,1=便
mavaa,1=马
qkigg,1=轻
mwedd,1=美
wwrll,1=位
jimjj,1=机
wfxdd,1=文
iuwbb,1=处
whwww,1=望
ihedd,1=常
wjbyy,1=完
fwvdd,1=飞
uijaa,1=师
veurr,1=者
anbnn,1=安
qkdqq,1=清
xbryy,1=信
ujaaa,1=山
yriqq,1=原
rupnn,1=入
limzz,1=李
ihtpp,1=场
pkaaa,1=平
sitxx,1=思
bmydd,1=变
uirll,1=使
yzaaa,1=由
uzypp,1=受
mkree,1=命
mukaa,1=目
njtll,1=男
rfrrr,1=任
gdyhh,1=该
jbrvv,1=今
hddmm,1=海
yrzyy,1=远
jpjnn,1=解
dmagg,1=电
uiavv,2=世
xkxuu,1=性
xuyww,1=许
tabbb,1=它
lidaa,1=立
jbraa,1=金
hxchh,1=花
igtii,1=城
dverr,1=队
hdzhh,1=孩
uintt,1=始
mjdll,1=满
bkqbb,1=兵
wunww,1=物
liwdd,1=离
svkii,1=虽
siryy,1=似
vitaa,1=至
tszyy,1=通
rfyrr,1=认
uifpp,1=失
hordd,1=火
gekaa,1=哥
uiuaa,1=士
wuaaa,1=五
jkxjj,1=惊
moggg,1=魔
jklee,1=竟
jpnqq,1=姐
hupvv,1=乎
jmrdd,1=剑
jpsjj,1=结
lqdvv,1=流
tubqq,1=突
zortt,1=坐
siqjj,1=斯
yblrr,1=音
jbxaa,1=紧
vifvv,1=指
uaxdd,1=杀
bjdaa,1=半
jiyjj,1=记
lihdd,1=利
herkk,2=合
dcrdd,1=倒
uuvdd,1=书
wwrww,1=微
buvpp,1=步
jnxww,1=教
xiukk,1=喜
ytzgg,1=越
ykjpp,1=影
ufdmm,1=深
gckpp,1=告
xlpnn,1=象
qmjgg,1=钱
yjkdd,1=言
sveyy,1=随
mwmpp,1=每
fuyyy,1=服
jiaaa,1=击
wuvgg,1=武
naknn,1=哪
vjlvv,1=站
qidkk,1=奇
fhhff,1=房
grvgg,1=管
lkhaa,1=灵
kehdd,1=刻
tiuyy,1=题
yidnn,1=衣
jkqvv,1=静
uhrll,1=伤
bdbaa,1=百
nahuu,1=拿
manmm,1=妈
xkruu,1=星
hxrbb,1=化
gsgll,1=功
jtsss,1=绝
xixpp,1=系
bjvyy,1=般
bidpp,1=必
yeaaa,1=业
erxpp,1=尔
jmrnn,1=件
xtmpp,1=血
ddrgg,1=代
jkmqq,1=精
diepp,1=弟
vssdd,1=终
jbzjj,1=近
qkyaa,1=青
jptjj,1=界
sikvv,1=司
vguvv,1=整
hryqq,1=欢
zibzz,1=字
wjrmm,1=晚
qpdvv,1=切
jnfdd,1=交
hogaa,1=或
anryy,1=暗
fuann,1=夫
yrkbb,1=员
gfmnn,1=根
uikaa,1=石
yednn,1=夜
fubxx,1=父
vidpp,1=制
yzyaa,1=友
aaekk,1=阿
xixzz,1=息
isdvv,1=冲
jqdyy,1=酒
bcrdd,1=保
xkkpp,1=形
vfeii,1=阵
njuaa,1=南
jtdnn,1=决
gewkk,1=各
xkebb,1=兴
yheyy,1=阳
jixpp,1=急
yuyww,1=语
lkrdd,1=令
jivnn,1=及
lqwdd,1=刘
jimjj,2=极
uiyvv,1=识
bwwtt,1=备
xtyaa,1=雪
kucgg,1=苦
lklyy,1=领
uzwvv,1=收
digdd,1=底
jbidd,1=尽
hxhuu,1=华
davhh,1=答
vsrrr,1=众
qmupp,1=千
xndxx,1=消
uiujj,1=视
losxx,1=罗
gjwvv,1=敢
lqtpp,1=留
lepdd,1=乐
xmryy,1=显
zvkjj,1=嘴
grbaa,1=官
drjvv,1=断
wwann,1=未
uivll,1=势
jukpp,1=句
jiyuu,1=计
dazdd,1=达
hdbkk,1=害
bapnn,1=八
djeaa,1=单
jqpvv,1=九
jqpnn,1=久
jnyqq,1=脚
derxx,1=德
ncyaa,1=脑
iulnn,1=楚
yuadd,1=雨
jkmqq,2=睛
xlkxx,1=响
dcvpp,1=刀
qtujj,1=确
yuwdd,1=玉
ifdjj,1=沉
bwbaa,1=北
gemgg,1=格
tkrtt,1=停
ifedd,1=陈
uijdd,1=市
icuyy,1=朝
hekvv,1=喝
zufuu,1=族
jldgg,1=江
muvdd,1=母
vhlzz,1=章
lljdd,1=亮
kebgg,1=客
vcvee,1=照
yirww,1=易
zuknn,1=足
yiryy,1=依
tdkvv,1=台
qqwqq,1=球
yreww,1=院
bcpvv,1=包
yixdd,1=义
suyii,1=诉
gsgww,1=攻
sisaa,1=丝
wwkww,1=围
wjwyy,1=玩
ddrss,1=待
fuwpp,1=复
liadd,1=丽
tsbyy,1=痛
hukhh,1=呼
ycfff,1=摇
qiqyy,1=期
ykcyy,1=英
dirdd,1=低
dijdd,1=帝
bwbyy,1=背
iifss,1=持
yefaa,1=爷
hlbww,1=皇
irbyy,1=穿
yhmpp,1=杨
vgvww,1=政
yyzyy,1=运
juugg,1=居
yekuu,1=叶
xnmjj,1=校
xpyuu,1=谢
zgerr,1=曾
guukk,1=古
xistt,1=细
uvmii,1=睡
xixbb,1=希
suzuu,1=速
uibvv,1=室
hkxbb,1=怀
luyll,1=露
yivaa,1=异
gvpdd,1=鬼
queyy,1=取
uiggg,1=式
